CP,NC,XP,CC_1,CC_2
-0.00102732185900001,1,x4,2,3
0.02504725348514,1,x8,4,5
-0.000153584710000043,1,x4,6,7
0.0218159628394319,1,x8,8,9
-0.00262854243800004,-1,x4,10,11
NaN,-1,,0,0
-0.0593704563903765,1,x9,12,13
0.231326775950487,1,x2,14,15
NaN,1,,0,0
0.0662024835577083,-1,x3,16,17
NaN,1,,0,0
0.0177867977018193,-1,x5,18,19
13.26,1,x1,20,21
-0.0151513439115,1,x4,22,23
NaN,1,,0,0
NaN,-1,,0,0
-0.0123459349263525,1,x6,24,25
NaN,-1,,0,0
NaN,1,,0,0
0.000168972196731954,1,x9,26,27
0.0765198508671777,1,x9,28,29
-0.00474357129939529,1,x9,30,31
-0.00114183222103292,1,x9,32,33
NaN,1,,0,0
18.345,-1,x1,34,35
0.00739014335949995,1,x4,36,37
0.00479148096250004,1,x4,38,39
0.0138075232601192,1,x3,40,41
NaN,-1,,0,0
-0.0236806288195954,-1,x9,42,43
0.169948297592743,1,x3,44,45
NaN,1,,0,0
0.111246886887983,1,x2,46,47
NaN,1,,0,0
NaN,-1,,0,0
0.00275095809574333,1,x5,48,49
NaN,1,,0,0
0.0276336873946509,-1,x9,50,51
-0.0417592510717923,1,x2,52,53
-0.0500984024152383,-1,x2,54,55
-0.0916552529275744,1,x2,56,57
30.44,1,x1,58,59
NaN,-1,,0,0
-0.00633998018245319,1,x8,60,61
NaN,1,,0,0
0.0418912138053892,1,x9,62,63
NaN,1,,0,0
NaN,1,,0,0
-0.0241076336822594,1,x2,64,65
NaN,-1,,0,0
0.0431273059986275,1,x9,66,67
-0.0612915152674188,-1,x2,68,69
NaN,1,,0,0
-0.00156430465774926,1,x6,70,71
-0.047840595663538,-1,x3,72,73
NaN,-1,,0,0
-0.00285753033469172,1,x5,74,75
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.0026793951717311,1,x5,76,77
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
0.0222891552643432,1,x7,78,79
-0.111335902376365,1,x3,80,81
NaN,-1,,0,0
0.0979377068475422,1,x3,82,83
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
