CP,NC,XP,CC_1,CC_2
0.0169118516718152,1,x8,2,3
-0.00484461079905879,1,x5,4,5
0.0189860045943343,-1,x9,6,7
-0.000868551527999917,-1,x4,8,9
21.16,1,x1,10,11
NaN,-1,,0,0
-0.00238033699621865,1,x2,12,13
-0.0109844431582686,1,x5,14,15
-0.0107450601660321,-1,x5,16,17
-0.00167933500000006,1,x4,18,19
NaN,-1,,0,0
0.031724960606542,1,x8,20,21
-0.00815246152089172,-1,x5,22,23
-0.0068359781891022,1,x7,24,25
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.02402983843637,1,x5,26,27
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
-0.00984562795900012,1,x4,28,29
13.49,1,x1,30,31
NaN,1,,0,0
-0.0279055602670812,1,x5,32,33
NaN,1,,0,0
12.745,1,x1,34,35
-0.0885279434786844,-1,x3,36,37
NaN,1,,0,0
NaN,-1,,0,0
-0.00475940746269271,1,x9,38,39
NaN,1,,0,0
NaN,-1,,0,0
15.395,1,x1,40,41
NaN,1,,0,0
0.0151542450691903,-1,x9,42,43
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
