CP,NC,XP,CC_1,CC_2
-0.00111192777249991,1,x4,2,3
0.0292193940451285,1,x8,4,5
0.000143740234500034,1,x4,6,7
-0.01460515714,1,x4,8,9
-0.00627569603249989,-1,x4,10,11
NaN,-1,,0,0
13.275,1,x1,12,13
0.2333019115266,1,x2,14,15
0.104126293622108,1,x2,16,17
-0.0132203703883934,-1,x6,18,19
NaN,1,,0,0
0.00479148096250004,1,x4,20,21
-0.0240539917398641,-1,x5,22,23
-0.0419433250392168,1,x3,24,25
NaN,1,,0,0
-0.030403473708107,1,x9,26,27
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.0106719678639646,-1,x8,28,29
-0.0423235604607489,1,x2,30,31
NaN,-1,,0,0
0.0152829298265192,-1,x3,32,33
NaN,-1,,0,0
0.00159819655020998,1,x6,34,35
NaN,1,,0,0
11.39,1,x1,36,37
-0.00662198469715553,1,x2,38,39
NaN,-1,,0,0
-0.00177507216261652,1,x9,40,41
0.0074577033176314,1,x5,42,43
-0.0495783996479012,-1,x2,44,45
-0.0916552529275744,1,x2,46,47
-0.00429894979955786,-1,x9,48,49
NaN,1,,0,0
NaN,-1,,0,0
0.0203245836442976,1,x8,50,51
-0.0232929560845859,1,x2,52,53
NaN,-1,,0,0
NaN,1,,0,0
11.975,-1,x1,54,55
NaN,1,,0,0
-0.0413602650264288,1,x3,56,57
-0.00256319121091664,1,x6,58,59
-0.0476760376965507,-1,x3,60,61
NaN,-1,,0,0
0.044986650422303,1,x3,62,63
-0.023594599916369,-1,x9,64,65
0.00309889834916866,1,x8,66,67
0.0272249885531135,1,x2,68,69
NaN,1,,0,0
-0.0348537841251336,1,x2,70,71
NaN,1,,0,0
0.0146985864266984,-1,x8,72,73
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
35.935,1,x1,74,75
-0.121215651546754,-1,x3,76,77
NaN,-1,,0,0
NaN,1,,0,0
-0.0029560019813053,1,x2,78,79
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0547147570257642,1,x2,80,81
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
0.0164804439612755,1,x6,82,83
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
