CP,NC,XP,CC_1,CC_2
0.0312675267397475,1,x7,2,3
0.0282287868701494,1,x13,4,5
NaN,-1,,0,0
0.0795728968938544,1,x15,6,7
0.0165852319351575,-1,x8,8,9
-0.00102732185900001,1,x6,10,11
NaN,-1,,0,0
0.000995748776786542,-1,x10,12,13
NaN,1,,0,0
0.109468879659737,1,x4,14,15
-0.0386270308613716,1,x8,16,17
0.0508202930224609,-1,x14,18,19
NaN,-1,,0,0
-0.011200941396653,1,x9,20,21
NaN,1,,0,0
NaN,-1,,0,0
-0.000165178318000003,1,x6,22,23
-0.00364901101610932,-1,x8,24,25
-0.00331639431380365,1,x2,26,27
0.00597238940541567,-1,x13,28,29
-0.00276903366599995,1,x6,30,31
NaN,-1,,0,0
0.00750053907586046,1,x7,32,33
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
14.145,1,x1,34,35
NaN,1,,0,0
-0.0811547711463232,1,x2,36,37
0.0137594920409999,1,x6,38,39
11.54,1,x1,40,41
15.91,1,x1,42,43
-0.0315882638044999,1,x5,44,45
0.00590439482249994,1,x6,46,47
-0.186241479234086,-1,x5,48,49
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.00667879915629982,1,x4,50,51
NaN,-1,,0,0
NaN,1,,0,0
-0.00683416046319268,1,x2,52,53
NaN,1,,0,0
NaN,-1,,0,0
-0.160501830140668,-1,x4,54,55
NaN,-1,,0,0
NaN,1,,0,0
0.00273397583899992,1,x6,56,57
14.075,-1,x1,58,59
NaN,-1,,0,0
15.385,1,x1,60,61
NaN,1,,0,0
-0.0305147027036374,1,x3,62,63
NaN,-1,,0,0
NaN,1,,0,0
0.0329658925678871,-1,x9,64,65
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.00357675716299999,-1,x6,66,67
NaN,1,,0,0
NaN,-1,,0,0
0.00450120373100016,1,x6,68,69
NaN,1,,0,0
-0.0118144532636308,-1,x14,70,71
NaN,1,,0,0
NaN,-1,,0,0
