CP,NC,XP,CC_1,CC_2
-0.00086081946100014,1,x4,2,3
0.0285329564241812,1,x8,4,5
0.000188514594499867,1,x4,6,7
-0.013920125025,1,x4,8,9
-0.00262854243800004,-1,x4,10,11
NaN,-1,,0,0
29.335,1,x1,12,13
0.236091275279665,1,x2,14,15
-0.0830065008594576,1,x3,16,17
0.0622494039399687,-1,x3,18,19
NaN,1,,0,0
0.0331300426910784,1,x8,20,21
-0.0231427432216906,-1,x2,22,23
0.0298517502504952,1,x2,24,25
NaN,1,,0,0
NaN,-1,,0,0
-0.0125211729979999,1,x4,26,27
NaN,-1,,0,0
0.0458916601199363,-1,x8,28,29
0.0193837925432339,1,x8,30,31
NaN,1,,0,0
-0.021703137532108,-1,x8,32,33
NaN,1,,0,0
NaN,-1,,0,0
0.00159819655020998,1,x6,34,35
NaN,1,,0,0
-0.0221490206037065,1,x3,36,37
NaN,-1,,0,0
NaN,1,,0,0
-0.0989847657504704,1,x3,38,39
0.00960560681599987,-1,x4,40,41
NaN,-1,,0,0
-0.0289873288506724,-1,x7,42,43
0.00093791284218403,-1,x9,44,45
NaN,1,,0,0
NaN,1,,0,0
-0.0234497661909872,1,x5,46,47
-0.188746643680812,-1,x3,48,49
-0.0708720795743696,1,x3,50,51
NaN,-1,,0,0
-0.077414309457037,1,x3,52,53
NaN,1,,0,0
NaN,-1,,0,0
28.075,-1,x1,54,55
-0.00304250117169247,1,x7,56,57
NaN,1,,0,0
13.02,1,x1,58,59
NaN,1,,0,0
0.0274771131845268,-1,x5,60,61
NaN,1,,0,0
-0.13761070228202,1,x2,62,63
NaN,1,,0,0
NaN,-1,,0,0
22.075,-1,x1,64,65
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.00242816714916383,1,x7,66,67
-0.00139826682882077,-1,x9,68,69
NaN,-1,,0,0
NaN,-1,,0,0
-0.0140348946438525,1,x8,70,71
NaN,-1,,0,0
NaN,1,,0,0
18.11,-1,x1,72,73
NaN,1,,0,0
12.42,1,x1,74,75
15.34,-1,x1,76,77
0.0432776678265444,1,x3,78,79
0.0276881219945716,1,x3,80,81
16.345,1,x1,82,83
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.00513587044126917,1,x5,84,85
NaN,-1,,0,0
-0.00257159298290099,-1,x5,86,87
NaN,1,,0,0
15.18,-1,x1,88,89
NaN,1,,0,0
NaN,1,,0,0
0.0101618184270259,1,x5,90,91
NaN,-1,,0,0
-0.0244619723637828,1,x3,92,93
13.665,1,x1,94,95
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.00933106338871303,1,x5,96,97
12.075,-1,x1,98,99
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.0171166407717165,-1,x5,100,101
NaN,-1,,0,0
13.985,-1,x1,102,103
0.014339510807956,-1,x5,104,105
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
