CP,NC,XP,CC_1,CC_2
-0.00102732185900001,1,x4,2,3
0.0282546146368571,1,x8,4,5
-0.000165178318000003,1,x4,6,7
-0.0627930256316253,1,x9,8,9
-0.0121747749434277,-1,x6,10,11
NaN,-1,,0,0
0.0295298442190017,1,x5,12,13
NaN,1,,0,0
13.22,1,x1,14,15
NaN,1,,0,0
-0.00667965808500004,-1,x4,16,17
-0.011703408804126,1,x8,18,19
NaN,-1,,0,0
0.0268742130485492,1,x9,20,21
0.0112154536049321,1,x9,22,23
NaN,-1,,0,0
NaN,1,,0,0
-0.120168305556638,1,x2,24,25
-0.110176167628187,1,x2,26,27
0.0121783130232047,1,x8,28,29
0.0445417495353322,1,x9,30,31
0.00390972883899254,1,x9,32,33
0.12031253769511,1,x2,34,35
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
-0.0967841491393736,-1,x2,36,37
-0.00281350909650002,1,x4,38,39
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0271977174866773,1,x5,40,41
NaN,-1,,0,0
-0.00952920956900011,1,x4,42,43
NaN,1,,0,0
NaN,-1,,0,0
-0.089381389201529,1,x2,44,45
0.0163442159752797,1,x3,46,47
NaN,1,,0,0
NaN,1,,0,0
21.29,1,x1,48,49
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.0980143346643538,-1,x3,50,51
NaN,-1,,0,0
NaN,1,,0,0
0.0685373280202896,1,x3,52,53
NaN,-1,,0,0
-0.00235020369347527,-1,x5,54,55
NaN,1,,0,0
14.975,1,x1,56,57
16.125,-1,x1,58,59
NaN,-1,,0,0
0.00745833263341633,1,x5,60,61
NaN,1,,0,0
0.00161926292768882,1,x3,62,63
NaN,-1,,0,0
NaN,1,,0,0
-0.0392098622944884,1,x3,64,65
0.0282635998422039,-1,x2,66,67
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
11.105,1,x1,68,69
0.0041978464800001,-1,x4,70,71
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
14.16,-1,x1,72,73
-0.0322248838645473,-1,x3,74,75
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
