CP,NC,XP,CC_1,CC_2
42.305,1,x1,2,3
32.155,1,x1,4,5
55.53,-1,x1,6,7
29.81,1,x2,8,9
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
26.515,1,x3,10,11
NaN,-1,,0,0
25.48,1,x1,12,13
NaN,1,,0,0
21.1,1,x3,14,15
NaN,-1,,0,0
18.835,1,x1,16,17
23.735,-1,x3,18,19
18.175,1,x2,20,21
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
16.785,1,x3,22,23
NaN,-1,,0,0
14.275,1,x3,24,25
NaN,1,,0,0
12.65,1,x1,26,27
14.795,-1,x3,28,29
12.29,1,x3,30,31
12.615,1,x2,32,33
NaN,-1,,0,0
15.315,1,x2,34,35
11.44,1,x1,36,37
12.675,-1,x3,38,39
NaN,1,,0,0
13.02,1,x2,40,41
NaN,1,,0,0
16.155,-1,x2,42,43
11.145,1,x1,44,45
11.645,1,x3,46,47
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
13.22,1,x1,48,49
NaN,-1,,0,0
NaN,1,,0,0
10.76,1,x2,50,51
NaN,-1,,0,0
11.615,1,x2,52,53
NaN,1,,0,0
NaN,1,,0,0
13.495,1,x2,54,55
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
14.065,1,x2,56,57
NaN,1,,0,0
NaN,-1,,0,0
