CP,NC,XP,CC_1,CC_2
25.48,1,x1,2,3
24.11,1,x1,4,5
26.515,-1,x3,6,7
21.145,1,x3,8,9
NaN,1,,0,0
NaN,-1,,0,0
29.81,1,x3,10,11
20.18,1,x2,12,13
23.6,-1,x3,14,15
NaN,1,,0,0
32.635,-1,x1,16,17
10.525,1,x2,18,19
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
38.44,-1,x2,20,21
NaN,-1,,0,0
14.275,1,x3,22,23
NaN,1,,0,0
55.755,-1,x1,24,25
13.495,1,x2,26,27
14.86,1,x3,28,29
NaN,-1,,0,0
NaN,1,,0,0
13.22,1,x1,30,31
NaN,1,,0,0
NaN,-1,,0,0
18.02,1,x1,32,33
13.235,1,x3,34,35
13.51,-1,x1,36,37
16.77,1,x3,38,39
18.885,-1,x1,40,41
12.565,1,x1,42,43
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
14.915,1,x1,44,45
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
11.165,1,x1,46,47
NaN,1,,0,0
NaN,1,,0,0
15.325,-1,x1,48,49
NaN,1,,0,0
11.645,1,x2,50,51
NaN,-1,,0,0
16.24,1,x2,52,53
11.52,-1,x3,54,55
12.315,1,x1,56,57
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
11.93,1,x2,58,59
NaN,-1,,0,0
NaN,1,,0,0
12.19,1,x3,60,61
NaN,-1,,0,0
NaN,1,,0,0
