CP,NC,XP,CC_1,CC_2
0.029310322603,1,x4,2,3
0.0181599414541355,1,x8,4,5
NaN,-1,,0,0
-0.00484461079905879,1,x5,6,7
-0.0292153792538809,-1,x2,8,9
-0.000868551527999917,-1,x4,10,11
0.0417062856869819,1,x2,12,13
0.0333184044681275,1,x8,14,15
-0.00811763996062442,-1,x5,16,17
-0.0109844431582686,1,x5,18,19
-0.0107450601660321,-1,x5,20,21
0.0243304854365655,1,x2,22,23
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.144089550713903,1,x3,24,25
NaN,-1,,0,0
-0.0068359781891022,1,x7,26,27
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
13.49,1,x1,28,29
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.000347710730115747,1,x9,30,31
-0.00765373805508712,1,x2,32,33
NaN,1,,0,0
0.00357675716299999,1,x4,34,35
0.00292785758387015,-1,x7,36,37
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0305080102711017,-1,x2,38,39
NaN,1,,0,0
-0.0551535532105182,-1,x2,40,41
NaN,-1,,0,0
-0.102608710242795,-1,x2,42,43
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
