CP,NC,XP,CC_1,CC_2
-0.00086081946100014,1,x4,2,3
0.0292712629491959,1,x8,4,5
-0.000153584710000043,1,x4,6,7
-0.013805571656,1,x4,8,9
-0.00667965808500004,-1,x4,10,11
NaN,-1,,0,0
-0.0240539917398641,1,x5,12,13
0.236091275279665,1,x2,14,15
-0.00893911473699999,1,x4,16,17
-0.0126265854937185,-1,x6,18,19
0.0185832393908272,1,x2,20,21
-0.049987003576919,-1,x2,22,23
0.0041978464800001,1,x4,24,25
-0.035014280602596,1,x7,26,27
NaN,1,,0,0
-0.000515298426383592,1,x6,28,29
-0.0830065008594576,1,x3,30,31
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0882597936446135,-1,x3,32,33
13.275,1,x1,34,35
NaN,-1,,0,0
-0.00685621644557127,1,x8,36,37
NaN,1,,0,0
0.0965890206864937,1,x2,38,39
NaN,-1,,0,0
-0.00815998540799984,1,x4,40,41
0.0161384904249336,-1,x5,42,43
-0.026273385431687,1,x8,44,45
-0.0186896988597603,1,x2,46,47
-0.0135038709362971,1,x6,48,49
-0.000552073115011598,1,x7,50,51
22.555,-1,x1,52,53
0.0785192347754993,1,x3,54,55
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0123313705688031,-1,x7,56,57
0.00474249501651247,1,x3,58,59
NaN,1,,0,0
NaN,1,,0,0
-0.00312182405503303,1,x6,60,61
NaN,1,,0,0
0.0949531805406763,1,x2,62,63
0.00678719125499549,1,x9,64,65
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.00220484659999987,-1,x4,66,67
NaN,1,,0,0
0.00960083245680909,1,x8,68,69
NaN,-1,,0,0
NaN,-1,,0,0
26.32,1,x1,70,71
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0126238117700517,1,x8,72,73
0.0187021019387389,-1,x9,74,75
-0.00622349480634632,1,x8,76,77
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
