CP,NC,XP,CC_1,CC_2
-0.000824969371500062,1,x4,2,3
0.0292193940451285,1,x8,4,5
-0.0240539917398641,1,x5,6,7
-0.00306270015951998,1,x5,8,9
0.0425670248978253,-1,x8,10,11
NaN,-1,,0,0
0.0212807014861736,1,x2,12,13
0.190869667293634,1,x3,14,15
-0.000918450353434686,1,x5,16,17
NaN,-1,,0,0
26.935,1,x1,18,19
0.0108675060314892,1,x2,20,21
0.0285237738297192,-1,x2,22,23
-0.01460515714,1,x4,24,25
-0.00248065456772478,1,x8,26,27
NaN,1,,0,0
0.000255139599783849,1,x5,28,29
17.815,-1,x1,30,31
NaN,1,,0,0
0.0303402091605,1,x4,32,33
NaN,1,,0,0
NaN,-1,,0,0
0.0212244658886237,-1,x3,34,35
0.0592622654133441,-1,x2,36,37
0.0418912138053892,1,x9,38,39
-0.00598738732557436,1,x9,40,41
NaN,1,,0,0
NaN,-1,,0,0
0.0213588915402179,1,x8,42,43
NaN,1,,0,0
NaN,-1,,0,0
-0.188746643680812,1,x3,44,45
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.00102082431256245,1,x8,46,47
-0.00914190094149997,1,x4,48,49
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.00455533552250009,1,x4,50,51
NaN,1,,0,0
NaN,1,,0,0
-0.167525644182058,1,x3,52,53
0.135637284249949,1,x2,54,55
NaN,-1,,0,0
NaN,1,,0,0
-0.00786534428252106,-1,x5,56,57
-0.0059982007174999,1,x4,58,59
-0.00297955807250011,1,x4,60,61
NaN,-1,,0,0
-0.00386870163555009,1,x6,62,63
NaN,1,,0,0
NaN,-1,,0,0
0.0485097995873858,1,x2,64,65
NaN,-1,,0,0
0.0341359653611844,1,x2,66,67
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0106485094357646,-1,x3,68,69
0.0426493610828291,1,x8,70,71
-0.00541242347349996,-1,x4,72,73
NaN,1,,0,0
NaN,1,,0,0
0.105219438991611,1,x2,74,75
NaN,-1,,0,0
NaN,1,,0,0
-0.100126301133439,1,x3,76,77
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.143831128159597,-1,x3,78,79
-0.0686256009796345,1,x3,80,81
NaN,1,,0,0
0.0173550111780173,-1,x9,82,83
22.775,1,x1,84,85
-0.0384685875453007,1,x8,86,87
14.345,-1,x1,88,89
NaN,-1,,0,0
0.00876556800958206,1,x5,90,91
NaN,1,,0,0
NaN,1,,0,0
-0.0586393221171559,1,x2,92,93
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0039202703865,1,x4,94,95
-0.0811547711463232,1,x2,96,97
-0.0328637644876666,-1,x9,98,99
NaN,-1,,0,0
-0.0830586080586081,1,x3,100,101
0.0137603870139998,1,x4,102,103
NaN,1,,0,0
NaN,-1,,0,0
0.0149727934042119,-1,x5,104,105
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0052353532517197,1,x2,106,107
-0.0179329202459747,-1,x2,108,109
-0.0191104424225719,1,x2,110,111
0.00323134977748241,-1,x5,112,113
NaN,-1,,0,0
NaN,1,,0,0
12.76,1,x1,114,115
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0352805676982145,-1,x3,116,117
0.0045351748418877,1,x5,118,119
NaN,1,,0,0
NaN,-1,,0,0
15.37,1,x1,120,121
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
