CP,NC,XP,CC_1,CC_2
21.135,1,x3,2,3
18.845,1,x1,4,5
23.585,-1,x3,6,7
18.135,1,x2,8,9
NaN,1,,0,0
NaN,-1,,0,0
41.645,1,x3,10,11
10.975,1,x2,12,13
NaN,-1,,0,0
31.455,1,x1,14,15
45.505,-1,x3,16,17
10.525,-1,x3,18,19
14.275,1,x3,20,21
29.23,1,x2,22,23
NaN,1,,0,0
NaN,-1,,0,0
56.375,1,x1,24,25
NaN,1,,0,0
NaN,-1,,0,0
13.325,1,x3,26,27
14.56,1,x2,28,29
26.515,1,x3,30,31
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
11.17,1,x1,32,33
NaN,1,,0,0
NaN,-1,,0,0
14.8,1,x3,34,35
25.565,-1,x2,36,37
NaN,1,,0,0
NaN,1,,0,0
13.13,1,x3,38,39
NaN,-1,,0,0
15.315,1,x2,40,41
NaN,1,,0,0
NaN,-1,,0,0
12.51,1,x3,42,43
NaN,-1,,0,0
NaN,1,,0,0
17.015,1,x3,44,45
12.33,1,x3,46,47
NaN,1,,0,0
16.355,-1,x3,48,49
NaN,1,,0,0
11.995,1,x1,50,51
NaN,-1,,0,0
15.8,1,x3,52,53
NaN,-1,,0,0
11.645,1,x2,54,55
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
