CP,NC,XP,CC_1,CC_2
0.0237739911253689,1,x8,2,3
0.0147841781597337,1,x15,4,5
0.0128180795990257,-1,x10,6,7
-0.0044420122979999,1,x6,8,9
-0.102744292062978,-1,x4,10,11
0.013995327144,-1,x6,12,13
NaN,-1,,0,0
0.0607417785971015,1,x4,14,15
-0.00302887232321808,1,x10,16,17
NaN,1,,0,0
11.105,-1,x1,18,19
-0.128354801309409,-1,x5,20,21
NaN,1,,0,0
0.00734885392879048,1,x13,22,23
NaN,1,,0,0
NaN,-1,,0,0
-0.0335720069725814,1,x2,24,25
NaN,-1,,0,0
0.0141351306619999,-1,x6,26,27
NaN,-1,,0,0
0.0147577038665322,1,x9,28,29
-0.00790790310000006,1,x6,30,31
NaN,1,,0,0
-0.099307914986663,1,x3,32,33
-0.0155268644155734,1,x13,34,35
0.164313990602749,1,x4,36,37
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0378988561786803,-1,x5,38,39
NaN,1,,0,0
0.0047710347864659,1,x8,40,41
-0.0855910374577165,1,x4,42,43
NaN,1,,0,0
0.00676752181881057,-1,x8,44,45
14.54,-1,x1,46,47
0.337586587104694,1,x5,48,49
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.00180250308240532,1,x8,50,51
0.0051706466575,-1,x6,52,53
-0.00401330401387073,1,x8,54,55
0.0268525040147974,-1,x13,56,57
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0104691212832803,-1,x7,58,59
NaN,1,,0,0
NaN,1,,0,0
0.00661549463070854,-1,x9,60,61
-0.0139421579193437,-1,x8,62,63
NaN,-1,,0,0
-0.000749657288500016,-1,x6,64,65
NaN,-1,,0,0
NaN,-1,,0,0
0.0166973894150297,1,x9,66,67
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
