CP,NC,XP,CC_1,CC_2
-0.00102732185900001,1,x4,2,3
-0.0129032822597038,1,x9,4,5
-0.000153584710000043,1,x4,6,7
NaN,1,,0,0
-0.00200565920299989,1,x4,8,9
NaN,-1,,0,0
13.275,1,x1,10,11
0.219681029012018,1,x3,12,13
NaN,1,,0,0
0.0042118157879999,1,x4,14,15
0.00220805257199996,-1,x4,16,17
0.0282546146368571,1,x8,18,19
NaN,1,,0,0
0.0111373525377896,-1,x8,20,21
-0.0417592510717923,1,x2,22,23
NaN,1,,0,0
-0.0211371575174902,-1,x2,24,25
-0.00109627255158562,1,x6,26,27
NaN,-1,,0,0
-0.0350146441682571,1,x3,28,29
NaN,-1,,0,0
-0.0636150234741784,1,x2,30,31
NaN,1,,0,0
-0.000137320475118996,1,x8,32,33
NaN,-1,,0,0
NaN,-1,,0,0
0.0677945597561981,1,x2,34,35
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
15.86,-1,x1,36,37
15.315,1,x1,38,39
-0.00567099599949999,1,x4,40,41
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.0272249885531135,-1,x2,42,43
NaN,1,,0,0
NaN,-1,,0,0
