CP,NC,XP,CC_1,CC_2
-0.000833945005000003,1,x4,2,3
-0.00278675041600013,1,x4,4,5
-0.000153584710000043,1,x4,6,7
0.0282546146368571,1,x8,8,9
0.0389966733207555,1,x9,10,11
NaN,-1,,0,0
0.00400832173189392,1,x6,12,13
-0.00408822380650004,1,x4,14,15
0.0601768863693445,-1,x3,16,17
0.00539348200079348,1,x9,18,19
NaN,1,,0,0
-0.0140180134944553,1,x8,20,21
-0.0151010617292115,-1,x8,22,23
-0.013805571656,1,x4,24,25
0.0363773966867942,-1,x2,26,27
NaN,-1,,0,0
0.0463235679893579,1,x8,28,29
NaN,1,,0,0
NaN,-1,,0,0
-0.0184069727105166,1,x8,30,31
-0.0390662293353252,1,x9,32,33
NaN,-1,,0,0
0.00905678976165625,-1,x7,34,35
0.2333019115266,1,x2,36,37
0.122167236080828,1,x2,38,39
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.114607858028911,1,x2,40,41
NaN,1,,0,0
NaN,-1,,0,0
-0.110176167628187,1,x2,42,43
NaN,-1,,0,0
NaN,1,,0,0
-0.0159140739757763,-1,x7,44,45
NaN,1,,0,0
-0.030467155762292,1,x9,46,47
NaN,1,,0,0
NaN,-1,,0,0
0.00335025826199997,1,x4,48,49
NaN,1,,0,0
0.0186713180914867,1,x5,50,51
NaN,-1,,0,0
-0.0272428164117944,1,x5,52,53
NaN,1,,0,0
-0.0468163710102349,1,x3,54,55
NaN,-1,,0,0
NaN,1,,0,0
-0.00257159298290099,1,x5,56,57
0.0213434754827662,-1,x5,58,59
NaN,1,,0,0
0.00491707725029333,-1,x9,60,61
NaN,-1,,0,0
-0.0226478446950887,1,x3,62,63
0.0870048089096935,-1,x3,64,65
0.00641963141036972,1,x5,66,67
NaN,-1,,0,0
-0.157383025338655,-1,x3,68,69
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
-0.00779094207716974,1,x5,70,71
NaN,-1,,0,0
NaN,1,,0,0
0.00504719556479793,1,x5,72,73
-0.0322248838645473,1,x3,74,75
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.0113069902804891,1,x8,76,77
0.00387660793524203,1,x5,78,79
NaN,1,,0,0
13.49,1,x1,80,81
0.00580057198899997,-1,x4,82,83
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.0042118157879999,1,x4,84,85
15.105,-1,x1,86,87
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
