CP,NC,XP,CC_1,CC_2
0.029310322603,1,x4,2,3
-0.00463134766761836,1,x5,4,5
NaN,-1,,0,0
0.0446890685635987,-1,x8,6,7
0.0184981240650305,1,x8,8,9
-0.000868551527999917,-1,x4,10,11
NaN,1,,0,0
0.0512499022903149,1,x2,12,13
0.00972648762499972,-1,x4,14,15
-0.00781910078956766,1,x5,16,17
NaN,-1,,0,0
21.16,1,x1,18,19
NaN,1,,0,0
11.585,-1,x1,20,21
NaN,1,,0,0
-0.0110161479959999,1,x4,22,23
NaN,-1,,0,0
15.395,1,x1,24,25
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.177166320262734,-1,x2,26,27
NaN,1,,0,0
14.14,1,x1,28,29
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.015719529838752,1,x2,30,31
0.00871793752214123,-1,x5,32,33
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
