CP,NC,XP,CC_1,CC_2
0.0758896768661079,1,x9,2,3
0.0402243744498262,1,x8,4,5
NaN,-1,,0,0
0.0283752450889035,1,x8,6,7
NaN,1,,0,0
-0.00463134766761836,1,x5,8,9
0.0331300426910784,-1,x8,10,11
-0.000868551527999917,-1,x4,12,13
21.16,1,x1,14,15
NaN,-1,,0,0
NaN,1,,0,0
-0.00781910078956766,1,x5,16,17
-0.0107450601660321,-1,x5,18,19
15.395,1,x1,20,21
-0.0104633572058459,-1,x8,22,23
-0.011021087617,1,x4,24,25
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
14.14,1,x1,26,27
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
16.66,-1,x1,28,29
NaN,1,,0,0
0.00228815132492666,1,x9,30,31
0.00861742069332105,-1,x5,32,33
NaN,-1,,0,0
-0.022323172754,1,x4,34,35
-0.0345343399043896,1,x2,36,37
11.915,1,x1,38,39
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.00631691000938728,1,x5,40,41
11.2,-1,x1,42,43
8.42647910000993e-05,1,x4,44,45
NaN,1,,0,0
-0.0141390164196906,1,x9,46,47
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
