CP,NC,XP,CC_1,CC_2
0.0759696427939157,1,x2,2,3
0.00576796318158168,1,x10,4,5
0.0697909736834199,1,x15,6,7
0.00349737496816571,1,x14,8,9
0.0260219168001932,-1,x12,10,11
0.247880957988145,1,x5,12,13
NaN,-1,,0,0
13.515,1,x1,14,15
0.022202343184817,-1,x9,16,17
NaN,-1,,0,0
NaN,1,,0,0
-9.4855106991254e-08,1,x9,18,19
NaN,1,,0,0
0.00154155231616826,1,x7,20,21
-0.101551109992181,1,x4,22,23
0.0012443511683633,1,x4,24,25
0.0367117062780791,-1,x9,26,27
0.00625021440587181,-1,x14,28,29
NaN,1,,0,0
NaN,1,,0,0
-0.000879507475813501,1,x2,30,31
15.885,-1,x1,32,33
-0.040270524867159,1,x8,34,35
0.0114411645639999,1,x6,36,37
0.024701640785834,-1,x14,38,39
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.00397594524300754,1,x15,40,41
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.0251936197956379,1,x8,42,43
0.0200041638576065,1,x13,44,45
NaN,1,,0,0
0.0181823304034258,-1,x2,46,47
0.0745499414901316,1,x4,48,49
-0.0141191334144513,1,x13,50,51
NaN,1,,0,0
NaN,1,,0,0
-0.00281791160751416,1,x7,52,53
0.0158960365573761,1,x8,54,55
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
0.016797056990555,-1,x2,56,57
14.82,1,x1,58,59
NaN,1,,0,0
NaN,-1,,0,0
0.00242258921049987,1,x6,60,61
NaN,-1,,0,0
NaN,-1,,0,0
18.455,1,x1,62,63
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
