CP,NC,XP,CC_1,CC_2
-0.000953362875499852,1,x4,2,3
0.0292193940451285,1,x8,4,5
-0.000153584710000043,1,x4,6,7
-0.00306270015951998,1,x5,8,9
-0.00627569603249989,-1,x4,10,11
NaN,-1,,0,0
33.645,1,x1,12,13
0.190630065346364,1,x3,14,15
-0.0824198393258541,1,x3,16,17
-0.0126265854937185,-1,x6,18,19
NaN,1,,0,0
-0.0583622293388707,1,x9,20,21
-0.0349094525674216,-1,x7,22,23
-0.00120672378029507,1,x6,24,25
-0.00248065456772478,1,x8,26,27
19.57,-1,x1,28,29
-0.000918450353434686,1,x5,30,31
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
0.00707710183050014,1,x4,32,33
NaN,1,,0,0
0.029419833937,-1,x4,34,35
-0.0162719882883898,-1,x6,36,37
0.00240864088831572,1,x7,38,39
22.8,1,x1,40,41
NaN,1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.000255139599783849,1,x5,42,43
-0.121331843142777,-1,x3,44,45
0.0396269618808602,1,x8,46,47
0.00981644719999986,-1,x4,48,49
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.0192288154064498,1,x5,50,51
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.0258510549229738,1,x3,52,53
NaN,-1,,0,0
-0.00698639036994941,1,x9,54,55
0.0128166911072933,1,x9,56,57
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
-0.00912904484100002,1,x4,58,59
NaN,1,,0,0
-0.00285077581849996,1,x4,60,61
0.0390790450782476,1,x3,62,63
0.0979377068475422,-1,x3,64,65
13.19,1,x1,66,67
-0.0313162593559063,-1,x2,68,69
-0.0104256778655001,1,x4,70,71
-0.00508703141461336,-1,x5,72,73
0.0202814086382053,1,x3,74,75
NaN,1,,0,0
0.00261638872314618,1,x5,76,77
NaN,-1,,0,0
0.00641646131149998,-1,x4,78,79
NaN,1,,0,0
NaN,1,,0,0
0.013918504911,1,x4,80,81
0.00550590738207879,-1,x8,82,83
NaN,1,,0,0
-0.0100131747539073,1,x5,84,85
NaN,1,,0,0
14.68,1,x1,86,87
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
-0.0242012366339523,1,x2,88,89
0.0112061723351002,-1,x6,90,91
NaN,-1,,0,0
-0.00624827947121021,-1,x9,92,93
-0.0152315531338207,1,x8,94,95
NaN,-1,,0,0
-0.0883039729238424,1,x2,96,97
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.00344070831529664,-1,x6,98,99
NaN,1,,0,0
-0.0114585085066063,-1,x8,100,101
15.625,1,x1,102,103
NaN,-1,,0,0
NaN,1,,0,0
NaN,1,,0,0
0.000505567828394615,-1,x6,104,105
0.017508305720156,-1,x8,106,107
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
0.0213355683781103,1,x9,108,109
0.00185680224922058,-1,x5,110,111
-0.0209347229959597,-1,x2,112,113
NaN,1,,0,0
NaN,-1,,0,0
0.00322281856300011,-1,x4,114,115
-0.00013402785315042,1,x5,116,117
0.00252091684481259,-1,x8,118,119
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
